4201;Bílina;5;1;12;0;23;22%;-9;27;0;32;42;24;29;32;20;36;32;43;20;36;40;50;25;33;19;23;25;17;29;26;34;230;0;125;105;230;54%;230;0;;Bílina;4201;;1103;929;;1103;304
4202;Děčín;8;6;115;84;64;13%;93;69;69;112;121;113;108;115;103;83;139;103;6;1;296;187;106;113;107;103;108;89;74;116;89;904;0;537;367;904;37%;904;0;;Děčín;4202;;2117;126;;2117;55
4203;Chomutov;41;9;228;36;111;37%;128;231;9;126;104;114;73;83;118;76;96;109;50;34;520;396;122;105;113;82;90;114;83;98;108;914;0;512;403;914;58%;914;0;;Chomutov;4203;;3116;116;;3116;35
4204;Kadaň;27;8;37;37;64;42%;19;147;48;74;104;128;80;103;102;118;90;86;8;22;359;200;87;109;127;91;109;101;113;92;89;919;0;524;395;919;74%;919;0;;Kadaň;4204;;3211;258;;3211;82
4205;Litoměřice;30;10;119;73;79;38%;95;176;0;87;111;84;91;86;55;60;75;110;11;40;206;299;69;87;67;72;68;46;50;61;87;606;0;363;243;606;59%;606;0;;Litoměřice;4205;;4212;88;;4212;30
4206;Litvínov;3;2;37;10;30;10%;8;71;5;66;70;77;53;65;21;43;24;67;30;38;30;103;50;53;58;40;49;16;32;18;50;366;0;250;116;366;69%;366;0;;Litvínov;4206;;4215;72;;4215;30
4207;Louny;8;3;30;0;51;16%;-21;70;80;160;138;115;86;109;86;84;78;85;31;54;143;145;136;120;102;81;98;69;68;63;69;807;0;537;269;807;48%;807;0;;Louny;4207;;4216;112;;4216;33
4208;Lovosice;8;7;32;38;18;44%;43;45;45;72;59;82;62;50;56;27;22;37;3;1;288;85;80;71;88;73;64;62;40;36;47;560;0;376;185;560;53%;560;0;;Lovosice;4208;;5101;364;;5101;117
4209;Most;23;9;47;92;94;24%;33;164;47;155;146;136;159;195;181;181;176;193;0;5;352;290;139;132;124;142;169;151;151;147;160;1 315;0;705;610;1 315;57%;1315;0;;Most;4209;;5204;105;;5204;24
4210;Podbořany;5;3;20;28;16;31%;25;18;3;34;53;44;32;29;46;34;29;42;0;4;45;56;25;40;33;24;22;34;25;21;31;256;0;144;112;256;32%;256;0;;Podbořany;4210;;5315;147;;5315;35
4211;Roudnice nad Labem;24;14;32;48;41;59%;43;33;28;39;63;36;52;65;62;45;24;49;6;4;85;128;30;48;28;40;50;43;30;15;33;317;0;195;122;317;26%;317;0;;Praha 7;1107;;6208;71;;6208;21
4212;Rumburk;1;1;62;49;30;3%;54;32;24;92;96;48;88;60;46;89;122;69;0;10;65;88;72;75;39;69;48;34;66;91;51;544;0;302;242;544;36%;544;0;;Praha 9;1109;;6210;122;;6210;34
4213;Teplice;37;21;101;107;183;20%;10;343;11;228;219;168;160;163;121;142;149;188;53;77;607;598;196;189;151;145;147;115;131;136;165;1 375;0;828;547;1 375;57%;1375;0;;Strakonice;3111;;7112;65;;7112;15
4214;Ústí nad Labem;11;7;150;139;119;9%;109;312;58;262;227;234;233;219;222;196;212;230;4;12;232;501;204;177;183;182;171;165;146;158;171;1 556;0;917;640;1 556;62%;1556;0;;Teplice;4213;;7211;43;;7211;10
4215;Varnsdorf;3;0;18;13;30;10%;-4;23;3;53;50;72;45;47;20;23;37;26;0;20;68;72;40;38;55;34;36;16;18;28;20;286;0;204;82;286;32%;286;0;;Třebíč;6113;;8102;89;;8102;24
4216;Žatec;8;4;50;14;33;24%;23;65;56;48;49;72;53;39;25;39;26;51;7;4;37;112;42;43;60;46;36;17;27;17;36;325;0;228;98;325;58%;325;0;;Vizovice;7211;;8119;844;;8119;216
5101;Česká Lípa;45;25;92;109;117;38%;79;136;103;150;169;143;151;138;113;105;112;103;7;4;404;364;136;151;131;137;127;93;87;92;86;1 041;0;683;358;1 041;37%;1041;0;;Česká Lípa;5101;;2110;551;;2110;166
5102;Frýdlant;3;1;43;41;26;12%;40;18;108;72;76;50;48;50;56;52;24;35;2;8;51;94;66;69;50;48;50;38;35;14;22;392;0;282;109;392;19%;392;0;;Frýdlant;5102;;2124;303;;2124;80
5103;Jablonec nad Nisou;12;6;14;15;106;11%;-72;130;68;74;26;69;45;29;44;76;60;83;19;18;134;310;57;21;53;35;23;25;49;37;54;355;0;191;164;355;42%;355;0;;Jablonec nad Nisou;5103;;3203;59;;3203;12
5104;Jilemnice;8;2;53;20;39;21%;24;52;67;35;45;40;43;36;44;42;59;34;0;3;112;150;35;42;38;41;35;32;30;43;24;320;0;192;128;320;35%;320;0;;Jilemnice;5104;;3209;2054;;3209;523
5105;Liberec;21;10;94;68;286;7%;-144;209;53;161;176;153;173;118;174;187;187;182;16;49;437;1098;67;78;61;76;34;69;79;79;75;618;0;315;303;618;19%;618;0;;Liberec;5105;;4210;56;;4210;16
5106;Nový Bor;7;4;61;63;29;24%;71;9;42;95;71;73;89;101;75;54;72;68;0;12;50;104;71;53;55;67;76;50;34;48;45;499;0;321;177;499;9%;499;0;;Nový Bor;5106;;5213;257;;5213;60
5107;Semily;3;3;17;7;19;16%;2;39;37;82;78;77;69;77;28;35;46;26;17;33;68;71;70;67;66;60;66;24;29;37;22;440;0;327;113;440;55%;440;0;;Přeštice;3210;;6215;63;;6215;21
5108;Tanvald;5;1;19;79;47;11%;32;56;19;48;58;80;46;44;35;36;44;70;0;0;14;210;23;30;47;21;20;10;11;17;37;217;0;142;75;217;27%;217;0;;Sokolov;4107;;7110;47;;7110;14
5109;Turnov;1;1;24;12;55;2%;-27;79;19;39;28;16;14;22;15;20;15;13;0;5;32;202;21;13;4;2;8;0;4;0;-1;53;-1;49;4;52;39%;52;0;;Šumperk;7111;;7206;154;;7206;40
